,RXN,A,b,Ea,YamlSource
4,H+O2(+M)=HO2(+M),6.37E+20,-1.72,524.8,Burke2012.yaml
16,H+O2(+M)=HO2(+M),2.65E+19,-1.3,0,Hong2011.yaml
19,H+O2(+M)=HO2(+M),5.75E+19,-1.4,0,sandiego20161214_H2only.yaml
24,H+O2(+M)=HO2(+M),5.75E+19,-1.4,0,sandiego20161214.yaml
0,H+O2=O+OH,1.04E+14,0,1.53E+04,Burke2012.yaml
11,H+O2=O+OH,1.04E+14,0,1.53E+04,Hong2011.yaml
2,H2+M=H+H+M,4.58E+19,-1.4,1.04E+05,Burke2012.yaml
14,H2+M=H+H+M,5.84E+18,-1.1,1.04E+05,Hong2011.yaml
3,H2O+M=H+OH+M,6.06E+27,-3.322,1.21E+05,Burke2012.yaml
15,H2O+M=H+OH+M,6.06E+27,-3.31,1.21E+05,Hong2011.yaml
8,H2O2(+M)=OH+OH(+M),2.49E+24,-2.3,4.87E+04,Burke2012.yaml
9,H2O2+H=H2O+OH,2.41E+13,0,3970,Burke2012.yaml
17,H2O2+H=H2O+OH,1.02E+13,0,3577,Hong2011.yaml
23,H2O2+H=H2O+OH,1.00E+13,0,3585.09,sandiego20161214_H2only.yaml
28,H2O2+H=H2O+OH,1.00E+13,0,3585.09,sandiego20161214.yaml
10,H2O2+O=OH+HO2,9.55E+06,2,3970,Burke2012.yaml
18,H2O2+O=OH+HO2,8.43E+11,0,3970,Hong2011.yaml
5,HO2+H=H2+O2,2.75E+06,2.09,-1451,Burke2012.yaml
20,HO2+H=H2+O2,1.66E+13,0,822.9,sandiego20161214_H2only.yaml
25,HO2+H=H2+O2,1.66E+13,0,822.9,sandiego20161214.yaml
6,HO2+H=OH+OH,7.08E+13,0,295,Burke2012.yaml
21,HO2+O=OH+O2,2.00E+13,0,0,sandiego20161214_H2only.yaml
26,HO2+O=OH+O2,2.00E+13,0,0,sandiego20161214.yaml
7,HO2+OH=H2O+O2,2.89E+13,0,-497,Burke2012.yaml
22,HO2+OH=H2O+O2,7.00E+12,0,-1094.65,sandiego20161214_H2only.yaml
27,HO2+OH=H2O+O2,7.00E+12,0,-1094.65,sandiego20161214.yaml
1,O+H2=H+OH,3.82E+12,0,7948,Burke2012.yaml
12,O+H2=H+OH,3.82E+12,0,7948,Hong2011.yaml
13,OH+H2=H+H2O,2.17E+08,1.52,3457,Hong2011.yaml
